"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"266","PGM",315,7,"315_7","PA",17,34,12,0,3,0,0.024908625,10.73915482,0.386677308,34.2,4.726666667,0.06,3,34.33333333,40.26666667,1.44,0.606666667,8
"267","PGM",315,8,"315_8","PA",12,21,10,0,0,0,0,1.6356,0,57.04,5.42,0.14,3,113.6,54.13333333,3.066666667,0.3,2
"268","PGM",315,9,"315_9","MA",16,16,11,0,0,0,0,0,0,55.38,5.133333333,0.13,3.6,55,17.13333333,3.173333333,0.333333333,6
"269","PGM",342,1,"342_1","LF",25,79,32,12,68,53,113.4753233,14.2827872,18.11778803,154.98,4.54,0.23,4.6,53.4,25.33333333,1.226666667,1.833333333,5
"270","PGM",342,10,"342_10","SFyoung",15,60,26,10,49,44,72.15434008,6.872160699,7.407628803,45.48,4.053333333,0.08,4.933333333,19.26666667,19.26666667,0.486666667,1.42,4
"271","PGM",342,11,"342_11","SFyoung",23,61,28,12,45,46,73.46107081,6.592581711,4.814304043,61.21,4.5,0.12,5.133333333,28.33333333,24,0.566666667,1.506666667,10
"272","PGM",342,12,"342_12","SFold",18,39,22,13,40,52,107.0018438,7.57058944,30.07717789,68.24,4.26,0.17,2.333333333,32.93333333,24.73333333,0.666666667,1.66,4
"273","PGM",342,2,"342_2","LF",26,61,21,8,63,46,105.5572004,8.214027554,65.6614417,72.69,4.173333333,0.16,2.933333333,29.4,17.93333333,0.993333333,1.713333333,6
"274","PGM",342,3,"342_3","LF",20,51,18,5,58,25,69.40645393,7.066696697,28.81862916,57.38,4.486666667,0.17,2.666666667,26,20.6,1.033333333,1.486666667,6
"275","PGM",342,4,"342_4","LF",22,60,34,13,69,60,139.1545231,6.797652695,27.98626712,84.33,4.353333333,0.19,5.4,41.06666667,30.8,1.713333333,1.413333333,7
"276","PGM",342,5,"342_5","LF",19,53,20,18,69,63,126.8669911,9.575323488,47.9085217,73.21,4.533333333,0.2,3.6,33.4,32.13333333,2.62,1.18,4
